,0
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.0
7,39.0
8,100.0
9,100.0
10,100.0
11,100.0
12,100.0
13,100.0
14,100.0
15,86.0
16,100.0
17,100.0
18,100.0
19,100.0
20,21.0
21,100.0
22,100.0
23,23.0
24,100.0
25,100.0
26,100.0
27,100.0
28,100.0
29,100.0
30,17.0
31,78.0
32,28.0
33,100.0
34,85.0
35,100.0
36,45.0
37,15.0
38,100.0
39,100.0
40,66.0
41,100.0
42,46.0
43,100.0
44,17.0
45,18.0
46,31.0
47,83.0
48,69.0
49,84.0
50,100.0
51,100.0
52,75.0
53,58.0
54,100.0
55,16.0
56,11.0
57,43.0
58,83.0
59,49.0
60,17.0
61,100.0
62,100.0
63,28.0
64,27.0
65,100.0
66,48.0
67,100.0
68,33.0
69,25.0
70,100.0
71,75.0
72,24.0
73,47.0
74,100.0
75,100.0
76,30.0
77,100.0
78,100.0
79,87.0
80,30.0
81,46.0
82,34.0
83,44.0
84,100.0
85,55.0
86,45.0
87,91.0
88,13.0
89,100.0
90,66.0
91,34.0
92,13.0
93,35.0
94,98.0
95,100.0
96,100.0
97,7.0
98,59.0
99,15.0
100,35.0
101,7.0
102,15.0
103,39.0
104,11.0
105,54.0
106,100.0
107,100.0
108,100.0
109,69.0
110,100.0
111,79.0
112,64.0
113,78.0
114,100.0
115,7.0
116,100.0
117,16.0
118,47.0
119,89.0
120,100.0
121,38.0
122,48.0
123,100.0
124,100.0
125,42.0
126,51.0
127,17.0
128,53.0
129,33.0
130,100.0
131,27.0
132,100.0
133,78.0
134,87.0
135,19.0
136,13.0
137,62.0
138,36.0
139,23.0
140,29.0
141,100.0
142,61.0
143,23.0
144,60.0
145,30.0
146,100.0
147,42.0
148,30.0
149,100.0
150,28.0
151,100.0
152,100.0
153,100.0
154,45.0
155,20.0
156,35.0
157,51.0
158,32.0
159,74.0
160,15.0
161,37.0
162,80.0
163,65.0
164,21.0
165,29.0
166,100.0
167,65.0
168,61.0
169,15.0
170,11.0
171,68.0
172,100.0
173,59.0
174,100.0
175,7.0
176,27.0
177,100.0
178,100.0
179,100.0
180,60.0
181,100.0
182,21.0
183,100.0
184,8.0
185,77.0
186,55.0
187,13.0
188,44.0
189,87.0
190,57.0
191,100.0
192,13.0
193,86.0
194,67.0
195,36.0
196,85.0
197,77.0
198,81.0
199,100.0
200,23.0
201,21.0
202,100.0
203,19.0
204,100.0
205,47.0
206,35.0
207,32.0
208,100.0
209,100.0
210,100.0
211,93.0
212,100.0
213,75.0
214,100.0
215,17.0
216,100.0
217,100.0
218,59.0
219,27.0
220,11.0
221,67.0
222,100.0
223,80.0
224,45.0
225,7.0
226,100.0
227,57.0
228,25.0
229,100.0
230,62.0
231,11.0
232,100.0
233,54.0
234,83.0
235,16.0
236,20.0
237,11.0
238,87.0
239,100.0
240,19.0
241,25.0
242,42.0
243,100.0
244,100.0
245,21.0
246,95.0
247,9.0
248,7.0
249,9.0
250,29.0
251,69.0
252,96.0
253,81.0
254,19.0
255,58.0
256,63.0
257,86.0
258,49.0
259,52.0
260,13.0
261,40.0
262,13.0
263,25.0
264,55.0
265,45.0
266,100.0
267,59.0
268,100.0
269,13.0
270,100.0
271,94.0
272,100.0
273,99.0
274,100.0
275,24.0
276,30.0
277,23.0
278,33.0
279,19.0
280,47.0
281,92.0
282,15.0
283,25.0
284,17.0
285,25.0
286,100.0
287,52.0
288,99.0
289,100.0
290,39.0
291,15.0
292,11.0
293,45.0
294,100.0
295,19.0
296,13.0
297,21.0
298,19.0
299,100.0
300,26.0
301,15.0
302,17.0
303,13.0
304,53.0
305,45.0
306,23.0
307,22.0
308,67.0
309,30.0
310,100.0
311,87.0
312,67.0
313,100.0
314,42.0
315,100.0
316,100.0
317,29.0
318,87.0
319,15.0
320,40.0
321,100.0
322,43.0
323,100.0
324,80.0
325,50.0
326,48.0
327,35.0
328,100.0
329,9.0
330,9.0
331,99.0
332,59.0
333,100.0
334,36.0
335,100.0
336,70.0
337,100.0
338,84.0
339,100.0
340,67.0
341,42.0
342,31.0
343,95.0
344,86.0
345,100.0
346,100.0
347,43.0
348,23.0
349,84.0
350,71.0
351,100.0
352,59.0
353,52.0
354,21.0
355,83.0
356,72.0
357,100.0
358,15.0
359,91.0
360,13.0
361,17.0
362,70.0
363,100.0
364,100.0
365,100.0
366,23.0
367,100.0
368,31.0
369,84.0
370,100.0
371,85.0
372,54.0
373,100.0
374,17.0
375,24.0
376,39.0
377,25.0
378,100.0
379,14.0
380,100.0
381,64.0
382,52.0
383,93.0
384,100.0
385,39.0
386,51.0
387,21.0
388,88.0
389,100.0
390,7.0
391,100.0
392,45.0
393,50.0
394,85.0
395,19.0
396,11.0
397,17.0
398,100.0
399,100.0
400,100.0
401,100.0
402,8.0
403,26.0
404,26.0
405,29.0
406,9.0
407,12.0
408,46.0
409,100.0
410,71.0
411,21.0
412,100.0
413,100.0
414,100.0
415,15.0
416,96.0
417,82.0
418,25.0
419,65.0
420,100.0
421,80.0
422,100.0
423,100.0
424,36.0
425,52.0
426,100.0
427,27.0
428,55.0
429,23.0
430,10.0
431,43.0
432,58.0
433,53.0
434,9.0
435,62.0
436,100.0
437,100.0
438,13.0
439,71.0
440,9.0
441,100.0
442,100.0
443,56.0
444,24.0
445,43.0
446,100.0
447,20.0
448,26.0
449,47.0
450,78.0
451,7.0
452,64.0
453,100.0
454,79.0
455,39.0
456,100.0
457,100.0
458,9.0
459,21.0
460,63.0
461,73.0
462,33.0
463,62.0
464,98.0
465,63.0
466,35.0
467,57.0
468,13.0
469,66.0
470,11.0
471,15.0
472,91.0
473,35.0
474,100.0
475,86.0
476,100.0
477,99.0
478,45.0
479,100.0
480,100.0
481,41.0
482,100.0
483,63.0
484,29.0
485,99.0
486,25.0
487,100.0
488,100.0
489,7.0
490,13.0
491,31.0
492,53.0
493,52.0
494,100.0
495,100.0
496,100.0
497,17.0
498,44.0
499,100.0
500,73.0
501,27.0
502,100.0
503,100.0
504,95.0
505,9.0
506,21.0
507,59.0
508,7.0
509,34.0
510,7.0
511,11.0
512,39.0
513,51.0
514,85.0
515,22.0
516,15.0
517,9.0
518,95.0
519,38.0
520,19.0
521,100.0
522,25.0
523,89.0
524,18.0
525,100.0
526,100.0
527,22.0
528,22.0
529,100.0
530,19.0
531,100.0
532,100.0
533,35.0
534,100.0
535,14.0
536,13.0
537,47.0
538,42.0
539,43.0
540,55.0
541,7.0
542,19.0
543,100.0
544,39.0
545,19.0
546,21.0
547,83.0
548,100.0
549,37.0
550,100.0
551,100.0
552,32.0
553,23.0
554,19.0
555,17.0
556,27.0
557,100.0
558,100.0
559,59.0
560,17.0
561,11.0
562,7.0
563,13.0
564,15.0
565,70.0
566,26.0
567,32.0
568,53.0
569,51.0
570,78.0
571,35.0
572,52.0
573,100.0
574,20.0
575,12.0
576,100.0
577,50.0
578,25.0
579,27.0
580,35.0
581,15.0
582,39.0
583,100.0
584,100.0
585,37.0
586,26.0
587,11.0
588,100.0
589,61.0
590,83.0
591,13.0
592,100.0
593,14.0
594,24.0
595,47.0
596,15.0
597,97.0
598,53.0
599,32.0
600,13.0
601,13.0
602,69.0
603,85.0
604,21.0
605,100.0
606,9.0
607,100.0
608,16.0
609,39.0
610,31.0
611,100.0
612,22.0
613,39.0
614,100.0
615,100.0
616,86.0
617,100.0
618,44.0
619,29.0
620,100.0
621,23.0
622,7.0
623,11.0
624,100.0
625,42.0
626,69.0
627,100.0
628,35.0
629,13.0
630,100.0
631,29.0
632,74.0
633,16.0
634,94.0
635,37.0
636,23.0
637,39.0
638,100.0
639,19.0
640,41.0
641,17.0
642,100.0
643,67.0
644,100.0
645,17.0
646,47.0
647,100.0
648,48.0
649,7.0
650,52.0
651,75.0
652,11.0
653,100.0
654,70.0
655,100.0
656,57.0
657,32.0
658,27.0
659,53.0
660,23.0
661,96.0
662,8.0
663,100.0
664,100.0
665,97.0
666,25.0
667,75.0
668,100.0
669,100.0
670,14.0
671,100.0
672,15.0
673,100.0
674,92.0
675,31.0
676,66.0
677,100.0
678,47.0
679,100.0
680,17.0
681,19.0
682,53.0
683,9.0
684,100.0
685,29.0
686,100.0
687,100.0
688,23.0
689,13.0
690,92.0
691,39.0
692,100.0
693,11.0
694,100.0
695,19.0
696,100.0
697,100.0
698,54.0
699,80.0
700,9.0
701,49.0
702,56.0
703,15.0
704,37.0
705,36.0
706,19.0
707,9.0
708,23.0
709,23.0
710,100.0
711,100.0
712,23.0
713,100.0
714,7.0
715,100.0
716,65.0
717,9.0
718,100.0
719,25.0
720,20.0
721,100.0
722,91.0
723,100.0
724,31.0
725,70.0
726,33.0
727,51.0
728,100.0
729,100.0
730,29.0
731,100.0
732,100.0
733,26.0
734,16.0
735,48.0
736,100.0
737,28.0
738,22.0
739,85.0
740,100.0
741,9.0
742,37.0
743,29.0
744,15.0
745,28.0
746,15.0
747,49.0
748,78.0
749,21.0
750,100.0
751,15.0
752,20.0
753,100.0
754,46.0
755,54.0
756,17.0
757,100.0
758,11.0
759,83.0
760,30.0
761,80.0
762,9.0
763,53.0
764,68.0
765,27.0
766,100.0
767,69.0
768,69.0
769,100.0
770,13.0
771,23.0
772,59.0
773,9.0
774,100.0
775,19.0
776,17.0
777,48.0
778,23.0
779,72.0
780,100.0
781,11.0
782,25.0
783,29.0
784,34.0
785,61.0
786,54.0
787,19.0
788,33.0
789,100.0
790,100.0
791,15.0
792,67.0
793,100.0
794,26.0
795,100.0
796,27.0
797,59.0
798,67.0
799,53.0
800,25.0
801,50.0
802,57.0
803,51.0
804,36.0
805,23.0
806,100.0
807,46.0
808,37.0
809,52.0
810,30.0
811,100.0
812,16.0
813,65.0
814,57.0
815,33.0
816,37.0
817,19.0
818,100.0
819,92.0
820,44.0
821,19.0
822,100.0
823,100.0
824,35.0
825,23.0
826,11.0
827,100.0
828,20.0
829,38.0
830,49.0
831,50.0
832,22.0
833,24.0
834,79.0
835,69.0
836,27.0
837,89.0
838,35.0
839,33.0
840,61.0
841,44.0
842,45.0
843,100.0
844,100.0
845,100.0
846,37.0
847,44.0
848,100.0
849,72.0
850,100.0
851,97.0
852,15.0
853,85.0
854,45.0
855,55.0
856,100.0
857,73.0
858,80.0
859,25.0
860,81.0
861,94.0
862,100.0
863,100.0
864,13.0
865,27.0
866,25.0
867,32.0
868,32.0
869,45.0
870,73.0
871,100.0
872,100.0
873,39.0
874,11.0
875,100.0
876,55.0
877,14.0
878,100.0
879,100.0
880,44.0
881,8.0
882,91.0
883,50.0
884,33.0
885,100.0
886,61.0
887,68.0
888,25.0
889,24.0
890,84.0
891,57.0
892,44.0
893,59.0
894,9.0
895,51.0
896,100.0
897,35.0
898,30.0
899,100.0
900,60.0
901,100.0
902,33.0
903,80.0
904,70.0
905,15.0
906,17.0
907,15.0
908,100.0
909,40.0
910,39.0
911,100.0
912,100.0
913,60.0
914,100.0
915,25.0
916,93.0
917,81.0
918,51.0
919,100.0
920,39.0
921,100.0
922,100.0
923,100.0
924,75.0
925,69.0
926,48.0
927,100.0
928,25.0
929,100.0
930,100.0
931,100.0
932,100.0
933,88.0
934,31.0
935,77.0
936,42.0
937,66.0
938,9.0
939,100.0
940,25.0
941,98.0
942,68.0
943,100.0
944,15.0
945,100.0
946,13.0
947,36.0
948,100.0
949,100.0
950,79.0
951,26.0
952,21.0
953,7.0
954,40.0
955,27.0
956,7.0
957,14.0
958,9.0
959,13.0
960,100.0
961,63.0
962,82.0
963,60.0
964,33.0
965,9.0
966,100.0
967,13.0
968,30.0
969,100.0
970,100.0
971,16.0
972,17.0
973,11.0
974,98.0
975,10.0
976,23.0
977,100.0
978,100.0
979,100.0
980,100.0
981,100.0
982,100.0
983,40.0
984,35.0
985,100.0
986,27.0
987,29.0
988,32.0
989,100.0
990,100.0
991,16.0
992,12.0
993,100.0
994,74.0
995,31.0
996,15.0
997,95.0
998,100.0
999,7.0
1000,59.0
1001,82.0
1002,48.0
1003,48.0
1004,19.0
1005,17.0
1006,57.0
1007,9.0
1008,11.0
1009,100.0
1010,24.0
1011,30.0
1012,100.0
1013,19.0
1014,7.0
1015,100.0
1016,27.0
1017,15.0
1018,88.0
1019,73.0
1020,15.0
